Datasets,,ETTh1
Shaping Process,,identity
Shaping Window,,N/A
Horizons,Models,
96,AutoTFT,True
96,AutoTSMixerx,True
96,AutoGRU,True
96,AutoTCN,True
96,AutoTiDE,True
96,AutoBiTCN,True
96,AutoDeepNPTS,True
96,AutoLSTM,True
96,AutoNHITS,True
96,AutoMLP,True
96,AutoNBEATSx,True
192,AutoTFT,True
192,AutoTSMixerx,True
192,AutoGRU,True
192,AutoTCN,True
192,AutoTiDE,True
192,AutoBiTCN,True
192,AutoDeepNPTS,True
192,AutoLSTM,True
192,AutoNHITS,True
192,AutoMLP,True
192,AutoNBEATSx,True
336,AutoTFT,True
336,AutoTSMixerx,True
336,AutoGRU,True
336,AutoTCN,True
336,AutoTiDE,True
336,AutoBiTCN,True
336,AutoDeepNPTS,True
336,AutoLSTM,True
336,AutoNHITS,True
336,AutoMLP,True
336,AutoNBEATSx,True
720,AutoTFT,True
720,AutoTSMixerx,True
720,AutoGRU,True
720,AutoTCN,True
720,AutoTiDE,True
720,AutoBiTCN,True
720,AutoDeepNPTS,True
720,AutoLSTM,True
720,AutoNHITS,True
720,AutoMLP,True
720,AutoNBEATSx,True
