Datasets,,ETTh1,ETTh1,ETTh1,ETTh1,ETTh1,ETTh1,ETTh1,ETTh1,ETTh1,ETTh1,ETTh1,ETTh1,ETTh1,ETTh1,ETTh1,ETTh1,ETTh1,ETTh1,ETTh1,ETTh1,ETTh1,ETTh1,ETTh1,ETTh1,ETTh1,ETTh1,ETTh1,ETTh1,ETTh1,ETTh1,ETTh1,ETTh1,ETTh1,ETTh1,ETTh1,ETTh1,ETTh1,ETTh1,ETTh1,ETTh1,ETTh1,ETTh1,ETTh1,ETTh1,ETTh1,ETTh1,ETTh1,ETTh1,ETTh1,ETTh1,ETTh1
Shaping Process,,pfarm,pfarm,pfarm,pfarm,pfarm,prollcorr,prollcorr,prollcorr,prollcorr,prollcorr,prollcov,prollcov,prollcov,prollcov,prollcov,pentropy,pentropy,pentropy,pentropy,pentropy,pmutual_info,pmutual_info,pmutual_info,pmutual_info,pmutual_info,ipfarm,ipfarm,ipfarm,ipfarm,ipfarm,iprollcorr,iprollcorr,iprollcorr,iprollcorr,iprollcorr,iprollcov,iprollcov,iprollcov,iprollcov,iprollcov,ipentropy,ipentropy,ipentropy,ipentropy,ipentropy,ipmutual_info,ipmutual_info,ipmutual_info,ipmutual_info,ipmutual_info,identity
Shaping Window,,501,751,1001,1251,1501,501,751,1001,1251,1501,501,751,1001,1251,1501,501,751,1001,1251,1501,501,751,1001,1251,1501,501,751,1001,1251,1501,501,751,1001,1251,1501,501,751,1001,1251,1501,501,751,1001,1251,1501,501,751,1001,1251,1501,N/A
Horizons,Models,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,TFT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
96,TSMixerx,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
96,GRU,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
96,TCN,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
96,TiDE,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
96,BiTCN,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
96,DeepNPTS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
