,dataset,horizon,shaping_process,shaping_window,model,metric,value
2,ETTh1,720,ipmutual_info,501,GRU,rmse,0.6405921640832644
2,ETTh1,720,prollcov,1501,GRU,rmse,0.6353409398074121
2,ETTh1,720,prollcov,1251,GRU,rmse,0.6310967808106095
2,ETTh1,720,prollcorr,1501,GRU,rmse,0.5991876038633335
2,ETTh1,720,ipmutual_info,751,GRU,rmse,0.5980284437277701
2,ETTh1,720,iprollcorr,1251,LSTM,rmse,0.5848308268680008
2,ETTh1,720,pfarm,1251,GRU,rmse,0.5841930686938469
2,ETTh1,720,iprollcov,751,GRU,rmse,0.5822784867175972
2,ETTh1,720,iprollcov,1001,GRU,rmse,0.5818337116676146
2,ETTh1,720,pmutual_info,1001,GRU,rmse,0.5791126960276796
2,ETTh1,720,pfarm,751,GRU,rmse,0.5762235404117592
2,ETTh1,720,pfarm,501,GRU,rmse,0.574545712133709
2,ETTh1,720,iprollcov,501,GRU,rmse,0.5722827674958281
2,ETTh1,720,identity,N/A,GRU,rmse,0.5719112115523041
2,ETTh1,720,iprollcorr,1501,GRU,rmse,0.571365420436872
2,ETTh1,720,prollcov,751,GRU,rmse,0.568666781097476
2,ETTh1,720,pmutual_info,1251,LSTM,rmse,0.5652057741515202
2,ETTh1,720,prollcov,1001,GRU,rmse,0.564635310024577
2,ETTh1,720,iprollcov,1501,GRU,rmse,0.5628413941778907
2,ETTh1,720,prollcorr,1251,GRU,rmse,0.5622061184117043
2,ETTh1,720,iprollcorr,1001,GRU,rmse,0.5558437642857069
2,ETTh1,720,ipentropy,1001,GRU,rmse,0.5558060188382157
2,ETTh1,720,iprollcorr,751,LSTM,rmse,0.5520128715780026
2,ETTh1,720,identity,N/A,LSTM,rmse,0.5494930811476336
2,ETTh1,720,pentropy,501,GRU,rmse,0.5456820014510025
2,ETTh1,720,pfarm,1501,LSTM,rmse,0.5430138332008242
1,ETTh1,720,prollcov,1501,GRU,mae,0.5427164411147037
2,ETTh1,720,prollcov,1001,LSTM,rmse,0.5415133057397935
2,ETTh1,720,iprollcov,501,LSTM,rmse,0.5405758442407024
2,ETTh1,720,prollcorr,501,GRU,rmse,0.5404232875957011
